movieId,title,Year,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western,Film-Noir,(no genres listed),tmdbId,vote_average,vote_count,popularity,revenue,budget,runtime,rating
1,Toy Story (1995),1995,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862.0,7.971,17363,103.992,394400000,30000000,81,3.92093023255814
2,Jumanji (1995),1995,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8844.0,7.239,9949,27.872,262821940,65000000,104,3.4318181818181817
3,Grumpier Old Men (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15602.0,6.5,353,32.388,71500000,25000000,101,3.2596153846153846
4,Waiting to Exhale (1995),1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31357.0,6.2,144,31.202,81452156,16000000,127,2.357142857142857
5,Father of the Bride Part II (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11862.0,6.2,674,21.113,76594107,0,106,3.071428571428572
6,Heat (1995),1995,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,949.0,7.9,6679,96.006,187400000,60000000,170,3.946078431372549
7,Sabrina (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11860.0,6.2,563,41.276,53672080,58000000,127,3.185185185185185
8,Tom and Huck (1995),1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45325.0,5.2,172,11.81,23920048,0,97,2.875
9,Sudden Death (1995),1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9091.0,5.982,651,35.921,64350171,35000000,110,3.125
10,GoldenEye (1995),1995,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,710.0,6.882,3591,44.086,352194034,58000000,130,3.496212121212121
11,"American President, The (1995)",1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9087.0,6.6,648,46.011,107879496,62000000,114,3.6714285714285713
12,Dracula: Dead and Loving It (1995),1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12110.0,6.036,899,36.436,10772144,30000000,88,2.421052631578948
13,Balto (1995),1995,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21032.0,7.289,1901,36.931,11348324,31000000,78,3.125
14,Nixon (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10858.0,6.902,325,18.322,13681765,44000000,192,3.8333333333333335
15,Cutthroat Island (1995),1995,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1408.0,5.8,492,22.956,10017322,98000000,124,3.0
16,Casino (1995),1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,524.0,8.012,5350,76.052,116112375,50000000,179,3.926829268292683
17,Sense and Sensibility (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4584.0,7.435,1553,50.628,134582776,16000000,136,3.776119402985074
18,Four Rooms (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.791,2471,45.689,4257354,4000000,98,3.7
19,Ace Ventura: When Nature Calls (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9273.0,6.3,3834,48.343,212385533,30000000,90,2.727272727272727
20,Money Train (1995),1995,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11517.0,5.845,698,42.126,77224232,68000000,110,2.5
21,Get Shorty (1995),1995,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8012.0,6.5,931,22.76,115101622,30250000,105,3.49438202247191
22,Copycat (1995),1995,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1710.0,6.508,864,22.188,32000000,20000000,124,3.2222222222222223
23,Assassins (1995),1995,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,9691.0,6.469,1443,33.184,30303072,50000000,132,3.125
24,Powder (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12665.0,6.9,581,41.678,30900000,9500000,111,3.125
25,Leaving Las Vegas (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,451.0,7.257,1307,42.487,49800000,3600000,111,3.625
26,Othello (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16420.0,6.5,125,14.503,0,0,123,3.5
27,Now and Then (1995),1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9263.0,6.895,391,35.844,27400000,12000000,100,3.333333333333333
28,Persuasion (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17015.0,7.1,119,18.021,0,0,107,4.227272727272728
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,902.0,7.285,992,50.989,1738611,18000000,108,4.0131578947368425
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,37557.0,6.8,78,15.61,0,2300000,108,3.0
31,Dangerous Minds (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9909.0,6.968,1059,42.381,179519401,23000000,99,3.1842105263157894
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,63.0,7.601,7797,64.55,168841459,29000000,129,3.983050847457627
34,Babe (1995),1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9598.0,6.19,2688,52.65,254134910,30000000,91,3.65234375
36,Dead Man Walking (1995),1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,687.0,7.339,1249,34.527,39363635,11000000,122,3.835820895522388
38,It Takes Two (1995),1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33689.0,6.464,822,46.806,19474589,0,101,2.125
39,Clueless (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9603.0,7.272,4082,70.679,56631572,12000000,97,3.293269230769231
40,"Cry, the Beloved Country (1995)",1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34615.0,6.7,21,14.092,676525,0,106,4.25
41,Richard III (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,31174.0,6.7,156,24.975,2748518,0,104,3.7
42,Dead Presidents (1995),1995,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11443.0,6.7,265,25.91,24100000,10000000,119,3.0
43,Restoration (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35196.0,6.1,102,26.076,4005941,19000000,117,3.1875
44,Mortal Kombat (1995),1995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9312.0,5.838,2111,38.646,122195920,18000000,101,2.5434782608695654
45,To Die For (1995),1995,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,577.0,6.574,709,28.263,21284514,20000000,106,3.3125
46,How to Make an American Quilt (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11861.0,6.382,170,46.264,41200020,10000000,116,3.066666666666667
47,Seven (a.k.a. Se7en) (1995),1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,807.0,8.4,19709,94.333,327311859,33000000,127,3.975369458128079
48,Pocahontas (1995),1995,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10530.0,6.926,5358,71.891,346100000,55000000,81,3.147058823529412
49,When Night Is Falling (1995),1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8391.0,6.2,64,48.143,0,0,96,3.0
50,"Usual Suspects, The (1995)",1995,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,629.0,8.2,9741,104.703,23341568,6000000,106,4.237745098039215
52,Mighty Aphrodite (1995),1995,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11448.0,6.721,605,33.328,6700000,15000000,95,3.4642857142857144
53,Lamerica (1994),1994,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49133.0,7.2,53,9.124,0,0,112,5.0
54,"Big Green, The (1995)",1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26441.0,5.5,173,26.096,0,0,100,2.333333333333333
55,Georgia (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97406.0,5.8,36,9.262,1110974,0,115,4.0
57,Home for the Holidays (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9089.0,6.3,162,10.774,17519169,0,103,3.0625
58,"Postman, The (Postino, Il) (1994)",1994,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11010.0,7.935,1078,30.321,33000000,3000000,109,4.027027027027027
60,"Indian in the Cupboard, The (1995)",1995,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11359.0,6.4,580,40.835,35700000,45000000,96,3.235294117647059
61,Eye for an Eye (1996),1996,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17182.0,6.1,319,29.7,26877589,20000000,101,3.75
62,Mr. Holland's Opus (1995),1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2054.0,7.0,378,40.254,106269971,31000000,137,3.70625
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10607.0,6.972,1172,71.897,20100000,3800000,89,2.7142857142857144
64,Two if by Sea (1996),1996,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19760.0,4.8,77,12.491,10658278,0,96,2.2
65,Bio-Dome (1996),1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9536.0,4.5,329,31.732,13400000,8500000,95,2.532258064516129
66,Lawnmower Man 2: Beyond Cyberspace (1996),1996,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,11525.0,2.903,129,40.158,2409225,15000000,92,2.5
68,French Twist (Gazon maudit) (1995),1995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4482.0,6.1,283,17.945,0,0,95,3.4
69,Friday (1995),1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10634.0,7.151,1623,50.749,28200000,3500000,97,3.775
70,From Dusk Till Dawn (1996),1996,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,755.0,7.015,5485,53.485,25836616,19000000,108,3.5090909090909093
71,Fair Game (1995),1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11859.0,5.0,265,28.411,11500000,50000000,91,1.7
72,Kicking and Screaming (1995),1995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28387.0,6.206,182,15.055,718490,0,96,3.2142857142857144
73,"Misérables, Les (1995)",1995,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,48750.0,6.9,60,9.892,0,0,175,3.4615384615384617
